dataset_type,tier,match_id,patch,duration_min,role,champion,win,kills,deaths,assists,kda,player_damage,dpm,total_gold,gpm,cs_total,cspm,teamkills,kp,aggression_index,damage_share,team_damage,rce,vision_score,vspm,wards_placed,wards_killed,vision_efficiency,team_dragons,team_barons,team_towers,gold_diff_10,xp_diff_10,cs_diff_10,lane_pressure_index
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,UTILITY,Rakan,True,0,1,15,15.0,5784.0,200.2539,7449.0,125.955,27.00014,0.9348,18.0,0.8333333333333334,7.5,0.0663364,87191.94891492453,1.5898844825532927,99.0,3.427582227351414,57.0,9.0,2.285054818234276,,0.0,,-50.0,153.0,6.0,69.66666666666667
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,TOP,Taliyah,False,2,6,4,1.0,21121.0,731.2522,9717.0,204.4778,221.00082500000002,7.6515,6.0,1.0,0.8571428571428571,0.338196,62451.95093969178,3.5761936014569797,17.0,0.5885747259088286,10.0,3.0,0.45008655510675133,,0.0,,-129.0,52.0,-5.0,62.0
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,JUNGLE,Nocturne,False,1,3,2,1.0,7095.0,245.6434,8791.0,172.4178,172.99961333333334,5.9896,6.0,0.5,0.75,0.113607,62452.1376323642,1.4246986100043035,29.0,1.0040392383150607,9.0,8.0,0.5885747259088286,,0.0,,263.0,258.0,7.0,176.0
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,MIDDLE,Ryze,False,1,4,1,0.5,11780.0,407.8477,10683.0,237.9227,262.0007166666667,9.071,6.0,0.3333333333333333,0.4,0.188625,62451.95493704441,1.714202554022798,26.0,0.9001731102135027,6.0,6.0,0.415464512406232,,0.0,,-627.0,-230.0,-1.0,286.0
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,BOTTOM,Kai'Sa,False,2,4,3,1.25,13502.0,467.4668,11876.0,279.2268,289.00085666666666,10.0058,6.0,0.8333333333333334,1.0,0.216198,62452.01158197578,1.67414732396747,18.0,0.6231967686093479,7.0,7.0,0.48470859780727066,,0.0,,253.0,-139.0,-4.0,132.0
pro,PRO,LOLTMNT04_135173,15.2,28.883333333333333,UTILITY,Lulu,False,0,1,5,5.0,8954.0,310.0058,6267.0,85.0317,28.998866666666665,1.004,6.0,0.8333333333333334,2.5,0.143374,62452.04848856836,3.645767402039475,110.0,3.8084246970571263,56.0,16.0,2.4927870744373917,,0.0,,50.0,-153.0,-6.0,69.66666666666667
pro,PRO,LOLTMNT04_135174,15.2,29.85,TOP,Rumble,False,1,6,3,0.6666666666666666,20169.0,675.6784,9454.0,185.0921,207.000795,6.9347,8.0,0.5,0.5714285714285714,0.284885,70796.98825842007,3.6504983194852727,22.0,0.7370184254606365,8.0,5.0,0.43551088777219427,,0.0,,166.0,-153.0,-7.0,108.66666666666667
pro,PRO,LOLTMNT04_135174,15.2,29.85,JUNGLE,Sejuani,False,2,4,3,1.25,13447.0,450.4858,8826.0,164.0536,154.99911,5.1926,8.0,0.625,1.0,0.189937,70797.15905800344,2.7459671717048577,40.0,1.3400335008375208,10.0,8.0,0.6030150753768844,,0.0,,-342.0,56.0,5.0,134.33333333333334
pro,PRO,LOLTMNT04_135174,15.2,29.85,MIDDLE,Yone,False,4,6,0,0.6666666666666666,16673.0,558.5595,12034.0,271.5243,275.99907,9.2462,8.0,0.5,0.5714285714285714,0.235504,70797.09898770298,2.0571252738705152,24.0,0.8040201005025125,11.0,6.0,0.5695142378559463,,0.0,,533.0,-189.0,-6.0,242.66666666666666
pro,PRO,LOLTMNT04_135174,15.2,29.85,BOTTOM,Xayah,False,0,6,1,0.16666666666666666,15171.0,508.2412,9795.0,196.5159,238.00002,7.9732,8.0,0.125,0.14285714285714285,0.214289,70796.9144473118,2.5862599413075484,22.0,0.7370184254606365,11.0,6.0,0.5695142378559463,,0.0,,-340.0,-226.0,-11.0,192.33333333333334
